,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(Last 3 hours),Snow inches (Last 3 hours)
0,Rantepao,ID,2020-02-22 17:03:48,-2.97,119.9,66.76,96,83,2.48,light rain,0.44,0.0
1,Hilo,US,2020-02-22 17:00:24,19.73,-155.09,68.0,82,90,8.05,moderate rain,0.0,0.0
2,Bajmok,RS,2020-02-22 17:03:48,45.97,19.42,42.08,59,46,7.14,scattered clouds,0.0,0.0
3,Albany,US,2020-02-22 17:00:35,42.6,-73.97,39.99,58,90,12.75,overcast clouds,0.0,0.0
4,Ribeira Grande,PT,2020-02-22 17:03:49,38.52,-28.7,60.8,72,75,8.05,broken clouds,0.0,0.0
5,Margate,GB,2020-02-22 17:03:49,51.38,1.39,54.0,58,20,26.4,few clouds,0.0,0.0
6,Jambi,ID,2020-02-22 17:01:27,-1.6,103.62,73.24,98,75,2.53,light rain,0.44,0.0
7,Obluche,ID,2020-02-22 17:01:27,-1.6,103.62,73.24,98,75,2.53,light rain,0.0,0.0
8,Skjervoy,NO,2020-02-22 17:03:50,70.03,20.97,35.74,63,83,21.25,broken clouds,0.0,0.0
9,Gat,IL,2020-02-22 17:00:02,31.61,34.76,59.0,77,37,3.36,scattered clouds,0.0,0.0
10,Cururupu,BR,2020-02-22 17:03:50,-1.83,-44.87,81.93,85,96,2.24,moderate rain,5.88,0.0
11,Santarem,BR,2020-02-22 17:01:04,-2.44,-54.71,80.6,88,75,11.41,broken clouds,0.0,0.0
12,Kholodnyy,RU,2020-02-22 17:03:51,62.72,147.95,-20.24,97,100,3.22,overcast clouds,0.0,0.0
13,Valparaiso,CL,2020-02-22 17:02:02,-33.04,-71.63,62.6,82,90,6.93,overcast clouds,0.0,0.0
14,Wajid,SO,2020-02-22 17:03:51,3.81,43.25,83.62,27,14,11.63,few clouds,0.0,0.0
15,Conceicao Do Araguaia,BR,2020-02-22 17:03:51,-8.26,-49.26,84.45,74,99,3.49,light rain,2.88,0.0
16,Muros,ES,2020-02-22 17:03:51,42.78,-9.06,69.01,55,0,3.36,clear sky,0.0,0.0
17,Ponta Delgada,PT,2020-02-22 17:00:39,37.73,-25.67,60.8,67,20,9.17,few clouds,0.0,0.0
18,Northam,GB,2020-02-22 17:03:52,51.03,-4.22,51.8,76,20,14.99,few clouds,0.0,0.0
19,Marcona,GB,2020-02-22 17:03:52,51.03,-4.22,51.8,76,20,14.99,few clouds,0.0,0.0
20,Ucluelet,CA,2020-02-22 17:03:52,48.93,-125.55,39.0,100,20,2.24,few clouds,0.0,0.0
21,Santa Maria,BR,2020-02-22 17:03:52,-29.68,-53.81,73.49,31,0,7.85,clear sky,0.0,0.0
22,Kapaa,US,2020-02-22 17:03:53,22.08,-159.32,73.4,78,40,10.29,scattered clouds,0.0,0.0
23,Fairbanks,US,2020-02-22 17:02:57,64.84,-147.72,10.0,84,90,2.3,overcast clouds,0.0,0.0
24,Murray Bridge,AU,2020-02-22 17:03:53,-35.12,139.27,66.99,49,0,8.01,clear sky,0.0,0.0
25,Hualmay,PE,2020-02-22 17:03:53,-11.1,-77.61,82.35,50,94,9.78,overcast clouds,0.0,0.0
26,Bengkulu,ID,2020-02-22 17:03:53,-3.8,102.27,74.3,89,84,3.96,broken clouds,0.0,0.0
27,Awjilah,LY,2020-02-22 17:03:54,29.11,21.29,58.08,49,0,10.42,clear sky,0.0,0.0
28,Kampong Chhnang,KH,2020-02-22 17:03:54,12.17,104.55,77.77,50,44,8.43,scattered clouds,0.0,0.0
29,Mehamn,NO,2020-02-22 17:03:54,71.04,27.85,30.25,80,51,20.96,broken clouds,0.0,0.0
30,West Bay,KY,2020-02-22 17:03:54,19.37,-81.42,80.6,69,75,10.29,broken clouds,0.0,0.0
31,North Bend,US,2020-02-22 17:03:54,43.41,-124.22,45.0,100,40,3.36,scattered clouds,0.0,0.0
32,San Policarpo,PH,2020-02-22 17:03:55,12.18,125.51,77.27,82,16,11.63,light rain,0.19,0.0
33,Udachnyy,RU,2020-02-22 17:03:55,66.42,112.4,-7.6,83,75,4.47,light snow,0.0,0.0
34,Codrington,AU,2020-02-22 17:03:55,-38.27,141.97,60.3,76,0,9.37,clear sky,0.0,0.0
35,Alghero,IT,2020-02-22 17:03:55,40.56,8.32,59.0,67,20,5.82,few clouds,0.0,0.0
