,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cidreira,BR,2020-02-16 21:45:36,-30.18,-50.21,77.79,86,0,18.01
1,Vaini,TO,2020-02-16 21:45:36,-21.2,-175.2,78.8,78,75,11.41
2,Vostok,RU,2020-02-16 21:45:36,46.49,135.88,6.84,93,100,7.78
3,New Norfolk,AU,2020-02-16 21:45:36,-42.78,147.06,55.99,70,75,11.41
4,Khatanga,RU,2020-02-16 21:45:36,71.97,102.5,1.31,96,99,10.63
5,Bredasdorp,ZA,2020-02-16 21:45:37,-34.53,20.04,68.0,68,2,8.05
6,Salalah,OM,2020-02-16 21:45:37,17.02,54.09,69.8,49,0,3.36
7,Lorengau,PG,2020-02-16 21:35:45,-2.02,147.27,83.21,79,47,11.12
8,Busselton,AU,2020-02-16 21:41:44,-33.65,115.33,55.0,60,0,11.52
9,Batemans Bay,AU,2020-02-16 21:38:41,-35.72,150.18,66.99,85,83,1.01
10,Coihaique,CL,2020-02-16 21:36:11,-45.58,-72.07,55.4,54,75,12.75
11,Qaanaaq,GL,2020-02-16 21:45:03,77.48,-69.36,1.09,45,61,7.4
12,Faanui,PF,2020-02-16 21:35:47,-16.48,-151.75,82.45,76,100,17.81
13,Bethel,US,2020-02-16 21:45:38,41.37,-73.41,44.01,48,75,5.82
14,Jamestown,US,2020-02-16 21:44:46,42.1,-79.24,36.0,80,90,11.41
15,Atuona,PF,2020-02-16 21:45:13,-9.8,-139.03,81.39,76,29,16.62
16,Mar Del Plata,AR,2020-02-16 21:44:38,-38.0,-57.56,78.01,47,20,8.05
17,Zyryanka,RU,2020-02-16 21:45:39,65.75,150.85,-19.68,89,0,9.28
18,Cape Town,ZA,2020-02-16 21:45:39,-33.93,18.42,68.0,88,75,14.99
19,Brandon,US,2020-02-16 21:44:28,27.94,-82.29,84.2,69,75,5.82
20,Oriximina,BR,2020-02-16 21:45:39,-1.77,-55.87,84.72,71,31,5.12
21,Ponta Do Sol,PT,2020-02-16 21:33:27,32.67,-17.1,64.4,77,40,6.93
22,Iracoubo,GF,2020-02-16 21:45:40,5.48,-53.2,79.32,81,84,17.36
23,Kinkala,CG,2020-02-16 21:45:40,-4.36,14.76,77.0,83,96,5.82
